drama_id,genre_id
86,3
86,5
86,18
86,20
86,40
87,3
87,5
87,20
87,40
88,3
88,5
88,16
88,20
88,35
88,40
89,25
89,29
89,36
89,38
89,49
90,25
90,29
90,36
90,38
90,50
91,25
91,29
91,36
91,38
92,25
92,29
92,36
92,38
93,25
93,29
93,36
93,38
94,1
94,3
94,8
95,1
95,3
95,8
95,49
96,16
96,32
96,49
97,1
97,10
98,3
98,8
98,36
99,31
99,35
100,8
100,31
100,35
101,16
101,18
101,31
102,16
102,35
103,3
103,16
103,18
104,1
104,3
104,36
105,1
105,3
105,36
106,1
106,3
106,36
107,1
107,3
107,36
108,1
108,3
108,36
109,1
109,3
109,8
109,20
109,36
109,41
110,1
110,3
110,8
110,20
110,36
110,41
111,3
111,4
111,8
111,18
112,3
112,4
112,8
112,19
113,25
113,32
113,49
114,25
115,25
116,1
116,3
116,16
116,20
116,36
117,25
117,32
117,49
118,16
118,49
119,3
119,4
119,8
119,16
119,20
120,25
120,32
120,49
121,25
121,32
121,49
122,3
122,4
123,1
123,3
123,4
123,10
123,32
124,1
124,3
124,4
124,10
124,32
125,1
125,3
125,4
125,10
125,32
126,1
126,3
126,4
126,10
126,32
127,1
127,3
127,4
127,10
127,32
128,16
128,20
128,25
128,32
128,49
129,16
129,23
129,35
130,16
130,25
130,32
130,36
130,49
131,6
131,16
131,30
132,8
133,1
133,3
133,8
133,18
133,36
134,1
134,3
134,8
134,18
134,36
135,1
135,3
135,8
135,18
135,36
136,1
136,3
136,8
136,18
136,36
137,1
137,3
137,8
137,18
137,36
138,13
138,16
138,20
138,35
138,46
138,47
138,48
139,13
139,16
139,20
139,35
139,46
139,47
139,49
140,13
140,16
140,20
140,35
140,46
140,47
140,50
141,13
141,16
141,20
141,35
141,46
141,47
141,51
142,13
142,16
142,20
142,35
142,46
142,47
142,52
143,8
143,16
143,20
143,24
143,35
144,8
144,16
144,18
144,35
144,37
145,16
145,35
145,37
146,10
146,16
146,32
146,49
147,1
147,16
147,20
147,42
147,49
148,25
148,36
148,49
149,3
149,16
149,36
150,16
150,32
150,49
151,10
151,16
151,32
151,49
152,1
152,3
152,36
152,49
153,1
153,3
153,26
153,36
154,1
154,3
154,26
154,36
155,3
155,32
155,44
155,45
155,49
156,1
156,3
156,10
156,16
156,32
157,1
157,49
158,8
158,16
158,35
159,3
159,16
159,18
160,3
160,4
160,10
160,32
160,49
161,3
161,4
161,10
161,32
161,49
162,8
162,18
163,8
163,18
164,8
164,18
165,3
165,4
165,8
165,10
165,18
165,36
166,3
166,4
166,8
166,10
166,18
166,36
167,3
167,4
167,8
167,10
167,18
167,36
168,3
168,4
168,8
168,10
168,18
168,36
169,3
169,4
169,8
169,10
169,18
169,36
170,1
170,3
170,20
171,1
171,3
171,20
172,1
172,3
172,20
173,1
173,3
173,20
174,1
174,3
174,20
175,5
175,8
175,35
176,1
176,4
176,36
177,8
177,17
177,35
178,1
178,16
178,44
179,25
179,32
179,49
180,1
180,3
180,20
180,35
181,1
181,3
181,20
181,35
182,1
182,3
182,20
182,35
183,1
183,3
183,20
183,35
184,1
184,3
184,20
185,16
185,35
185,37
186,8
186,16
186,35
187,1
187,10
187,16
187,32
187,49
188,1
188,3
188,27
189,1
189,3
189,27
190,1
190,3
190,27
191,8
191,16
192,16
192,35
193,8
193,16
193,35
194,32
194,49
195,1
195,16
195,32
196,8
196,25
197,8
197,16
197,35
198,8
198,30
198,35
199,8
199,16
199,30
199,35
200,8
200,16
200,35
