id,name,birth_date,photo,country_id
16,Alex D. Linz,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/pem026eNKMUMnCEVXZf5T5yjH64.jpg,5
17,Alexa Davalos,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/a0ySMTCDQCBOam4XW7Kvtt2ZhDd.jpg,8
18,Alexa PenaVega,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/11m8ff0YwS64Z04DJhupNQpwmCZ.jpg,7
19,Alexander Gould,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/fe4mUSp0XotA6Ku4Bs69Q9o2lqU.jpg,3
20,Alfie Allen,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/7gPpG0TBMX20tPhWC8BT47x2lnh.jpg,3
21,Alfre Woodard,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/70AVFDROBAeVhWDEMKWfXPpBVYq.jpg,6
22,Alfred Molina,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/nJo91Czesn6z0d0pkfbDoVZY3sg.jpg,9
23,Alia Bhatt,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/fgID7oesvlmOa6zGnZY4bMrvFAW.jpg,3
24,Alisha Boe,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/qsg2aGkJ25fD67AnVdQZB6Ho8CX.jpg,2
25,Allison Janney,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/hpBKWV1jjoXQbr1s0iUZTSvw582.jpg,10
26,Amanda Abbington,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/aANxORdYZkGTUvhWOBAXk4iM92t.jpg,10
27,Amanda Plummer,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/joHGUtEmXzJkH6ogEliiUKT9MNa.jpg,5
28,Amber Midthunder,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/f8VWGyaIS38NkDIzQ2hapXKt0N5.jpg,8
29,America Ferrera,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/7F84Lh2lKpvkM3EiOvqqvlOmw93.jpg,9
30,Amiee Conn,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/wAcmKIkZOfuS3gKnUTUW9Epu6Yy.jpg,7
31,Amir Nafis,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/n1ktt94fDYP6G5XitadFuprno94.jpg,9
32,Amitabh Bachchan,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/u69PvpWqGkywSm0YjFiw77j9eqS.jpg,9
33,Aml Ameen,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/wQ5zWlzmhvp2wG6gJiqoocEYHPJ.jpg,7
34,Amy Hargreaves,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/jwE1G6jVtBi20ZGjC8U4GOWSIxw.jpg,10
35,Amy Smart,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/pkLFedmz2uMEb6EahyTazuelqKU.jpg,7
36,Ana de Armas,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/3vxvsmYLTf4jnr163SUlBIw51ee.jpg,7
37,Ana Ularu,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/oWMWDIZbiQWkIlxkhEM3RVzZclc.jpg,1
38,Ana Wagener,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/y6sAOhd5OlKQLEXBdcCgJnvANoc.jpg,10
39,Andre Braugher,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/cDvAVHDiz7wyvE8K3Gxbn8zxdpo.jpg,10
40,Andrea Dian,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/7G9jaBQ437o4GSbefmsUHwjcOQv.jpg,6
41,Andrew Scott,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/4F8XpjyQCvtuu21WFm5d8RF5Rl.jpg,4
42,Angela Goethals,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/uX0ZLfklHtIk4IHZqduEvlOiNBL.jpg,10
43,Angelina Jolie,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/bXNxIKcJ5cNNW8QFrBPWcfTSu9x.jpg,7
44,Angga Yunanda,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/1M3cLNTQLL1Vy6UbO9Er7FMqbND.jpg,3
45,Angourie Rice,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/i8Wzov1P4HUMaK7rcG250nhxTg3.jpg,2
46,Ann Akinjirin,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/o4Tbudvow3rzgxmlilnRral5fpr.jpg,10
47,Anna Kendrick,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/i2HIJQcBsUQ3o9HwEeDwou45D60.jpg,6
48,Annabelle Wallis,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/b6PltW1e18BdmRz3nKZ7ID9uZ24.jpg,4
49,Anne Hathaway,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/dUnrbrn2FeqfdpGRArPZeWPsS2g.jpg,1
50,Annette Bening,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/sBiiRwAVXd0FCRZ87m0I89qGBvy.jpg,8
51,Annie Potts,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/kkGwF2nhgnYLUfXuH2CDvrHeUay.jpg,10
52,Annie Potts.,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/wckZtLwFUZ4iKwPxqfCtlVbdQnc.jpg,5
53,Ansel Elgort,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/DPIxORe7Sco6xVIKVbIsHlRYCI.jpg,4
54,Anthony Hopkins,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/1pRUjjrhnn1EzFz5dxbFAxcSCBC.jpg,10
55,Anthony Mackie,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/5pFyssmQGxxCu5geM4WgCBJGrcU.jpg,10
56,Anthony Mackie. Kevin Durand,01/01/1980,https://img.freepik.com/free-vector/businessman-character-avatar-isolated_24877-60111.jpg,1
57,Anthony Ramos,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/2pNNCnjI1TwxjyP3Y4cJln1wOKE.jpg,6
58,Antonia Thomas,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/dRFl6hb3LVTNtGFCvizaKoNhjKe.jpg,8
59,Antonio Banderas,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/ju5ho6nnwOQ2QLGLnDP9yOZhGpb.jpg,7
60,Antony Starr,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/gjW0BFkxowjzOVFyVMfgpCTkyl0.jpg,3
61,Anushka Sharma,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/tXlRA4gZgUiKx2P1odBpyXjnkbX.jpg,5
62,Archie Renaux,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/tJRMwbWFObv03KhATALs0Xbbgq7.jpg,10
63,Ari Irham,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/9ENvxomhVWXTi0S0I13agqRMBOd.jpg,1
64,Ario Bayu,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/jUuUbPuMGonFT5E2pcs4alfqaCN.jpg,9
65,Arsene Mosca,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/zkOBmmSgOsMPGs2DvpM8E4dXpBk.jpg,2
66,Arya Saloka,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/pem026eNKMUMnCEVXZf5T5yjH64.jpg,4
67,Asami Seto,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/a0ySMTCDQCBOam4XW7Kvtt2ZhDd.jpg,5
68,Asha Kenyeri Bermudez,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/11m8ff0YwS64Z04DJhupNQpwmCZ.jpg,10
69,Ashley Greene,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/fe4mUSp0XotA6Ku4Bs69Q9o2lqU.jpg,1
70,Ashley Judd,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/7gPpG0TBMX20tPhWC8BT47x2lnh.jpg,4
71,Ashton Kutcher,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/70AVFDROBAeVhWDEMKWfXPpBVYq.jpg,5
72,Astrid Bergès-Frisbey,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/nJo91Czesn6z0d0pkfbDoVZY3sg.jpg,8
73,Atsuko Yuya,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/fgID7oesvlmOa6zGnZY4bMrvFAW.jpg,10
74,Audrey Tautou,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/qsg2aGkJ25fD67AnVdQZB6Ho8CX.jpg,1
75,Auliʻi Cravalho,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/hpBKWV1jjoXQbr1s0iUZTSvw582.jpg,9
76,Austin Pendleton,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/aANxORdYZkGTUvhWOBAXk4iM92t.jpg,5
77,Ava Morse,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/joHGUtEmXzJkH6ogEliiUKT9MNa.jpg,3
78,Awkwafina,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/f8VWGyaIS38NkDIzQ2hapXKt0N5.jpg,10
79,Aya Asahina,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/7F84Lh2lKpvkM3EiOvqqvlOmw93.jpg,1
80,Ayako Kawasumi,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/wAcmKIkZOfuS3gKnUTUW9Epu6Yy.jpg,7
81,Ayana Taketatsu,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/n1ktt94fDYP6G5XitadFuprno94.jpg,8
82,Ayushita,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/u69PvpWqGkywSm0YjFiw77j9eqS.jpg,8
83,Azira Shafinaz,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/wQ5zWlzmhvp2wG6gJiqoocEYHPJ.jpg,7
84,Bae Suzy,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/jwE1G6jVtBi20ZGjC8U4GOWSIxw.jpg,8
85,Bárbara Lennie,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/pkLFedmz2uMEb6EahyTazuelqKU.jpg,9
86,Belle Solorzano,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/3vxvsmYLTf4jnr163SUlBIw51ee.jpg,10
87,Ben Foster,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/oWMWDIZbiQWkIlxkhEM3RVzZclc.jpg,5
88,Ben Hardy,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/y6sAOhd5OlKQLEXBdcCgJnvANoc.jpg,1
89,Ben Kingsley,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/cDvAVHDiz7wyvE8K3Gxbn8zxdpo.jpg,10
90,Ben Mendelsohn,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/7G9jaBQ437o4GSbefmsUHwjcOQv.jpg,4
91,Benedict Cumberbatch,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/4F8XpjyQCvtuu21WFm5d8RF5Rl.jpg,1
92,Benedict Wong,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/uX0ZLfklHtIk4IHZqduEvlOiNBL.jpg,9
93,Bill Camp,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/bXNxIKcJ5cNNW8QFrBPWcfTSu9x.jpg,5
94,Bill Fagerbakke,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/1M3cLNTQLL1Vy6UbO9Er7FMqbND.jpg,10
95,Billy Magnussen,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/i8Wzov1P4HUMaK7rcG250nhxTg3.jpg,3
96,Blake Cooper,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/o4Tbudvow3rzgxmlilnRral5fpr.jpg,6
97,Bob Custas,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/i2HIJQcBsUQ3o9HwEeDwou45D60.jpg,3
98,Bob Peterson,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/b6PltW1e18BdmRz3nKZ7ID9uZ24.jpg,4
99,Bobby Cannavale,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/dUnrbrn2FeqfdpGRArPZeWPsS2g.jpg,2
100,Bona,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/kkGwF2nhgnYLUfXuH2CDvrHeUay.jpg,10
101,Bonnie Hunt,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/wckZtLwFUZ4iKwPxqfCtlVbdQnc.jpg,4
102,Boyd Holbrook,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/DPIxORe7Sco6xVIKVbIsHlRYCI.jpg,5
103,Brad Garret,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/1pRUjjrhnn1EzFz5dxbFAxcSCBC.jpg,7
104,Brad Pitt,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/5pFyssmQGxxCu5geM4WgCBJGrcU.jpg,10
105,Bradley Cooper,01/01/1980,https://img.freepik.com/free-vector/businessman-character-avatar-isolated_24877-60111.jpg,6
106,Brandon Flynn,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/2pNNCnjI1TwxjyP3Y4cJln1wOKE.jpg,9
107,Brenda Fricker,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/dRFl6hb3LVTNtGFCvizaKoNhjKe.jpg,2
108,Brent Musburger,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/ju5ho6nnwOQ2QLGLnDP9yOZhGpb.jpg,4
109,Brenton Thwaites,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/gjW0BFkxowjzOVFyVMfgpCTkyl0.jpg,10
110,Brian Tyree Henry,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/tXlRA4gZgUiKx2P1odBpyXjnkbX.jpg,6
111,Brianna Hildebrand,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/tJRMwbWFObv03KhATALs0Xbbgq7.jpg,1
112,Brie Larson,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/9ENvxomhVWXTi0S0I13agqRMBOd.jpg,2
113,Bruce Leung,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/jUuUbPuMGonFT5E2pcs4alfqaCN.jpg,10
114,Bryan Cranston,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/zkOBmmSgOsMPGs2DvpM8E4dXpBk.jpg,1
115,Bucek Depp,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/pem026eNKMUMnCEVXZf5T5yjH64.jpg,3
116,Burn Gorman,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/a0ySMTCDQCBOam4XW7Kvtt2ZhDd.jpg,8
117,Byeon Woo-seok,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/11m8ff0YwS64Z04DJhupNQpwmCZ.jpg,7
118,Cai Puri-Evans,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/fe4mUSp0XotA6Ku4Bs69Q9o2lqU.jpg,8
119,Cailee Spaeny,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/7gPpG0TBMX20tPhWC8BT47x2lnh.jpg,4
120,Calah Lane,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/70AVFDROBAeVhWDEMKWfXPpBVYq.jpg,7
121,Caleb McLaughlin,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/nJo91Czesn6z0d0pkfbDoVZY3sg.jpg,1
122,Carey Mulligan,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/fgID7oesvlmOa6zGnZY4bMrvFAW.jpg,6
123,Carla Gugino,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/qsg2aGkJ25fD67AnVdQZB6Ho8CX.jpg,1
124,Carolyn Lawrence,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/hpBKWV1jjoXQbr1s0iUZTSvw582.jpg,3
125,Catherine O'Hara,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/aANxORdYZkGTUvhWOBAXk4iM92t.jpg,8
126,Cha Seung-won,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/joHGUtEmXzJkH6ogEliiUKT9MNa.jpg,7
127,Chace Crawford,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/f8VWGyaIS38NkDIzQ2hapXKt0N5.jpg,4
128,Chadwick Boseman,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/7F84Lh2lKpvkM3EiOvqqvlOmw93.jpg,1
129,Chafurin,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/wAcmKIkZOfuS3gKnUTUW9Epu6Yy.jpg,4
130,Chafûrin,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/n1ktt94fDYP6G5XitadFuprno94.jpg,4
131,Chafurin.,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/u69PvpWqGkywSm0YjFiw77j9eqS.jpg,2
132,Channing Tatum,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/wQ5zWlzmhvp2wG6gJiqoocEYHPJ.jpg,2
133,Charlie Day,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/jwE1G6jVtBi20ZGjC8U4GOWSIxw.jpg,6
134,Charlie Heaton,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/pkLFedmz2uMEb6EahyTazuelqKU.jpg,2
135,Charlie Hunnam,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/3vxvsmYLTf4jnr163SUlBIw51ee.jpg,10
136,Cheech Marin,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/oWMWDIZbiQWkIlxkhEM3RVzZclc.jpg,5
137,Chieko Baishô,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/y6sAOhd5OlKQLEXBdcCgJnvANoc.jpg,9
138,Chika Sakamoto,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/cDvAVHDiz7wyvE8K3Gxbn8zxdpo.jpg,7
139,Chloë Grace Moretz,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/7G9jaBQ437o4GSbefmsUHwjcOQv.jpg,4
140,Cho Dong-hyuk,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/4F8XpjyQCvtuu21WFm5d8RF5Rl.jpg,10
141,Cho Yeo-jeong,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/uX0ZLfklHtIk4IHZqduEvlOiNBL.jpg,10
142,Cho Yi-hyun,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/bXNxIKcJ5cNNW8QFrBPWcfTSu9x.jpg,4
143,Choi Byung Mo,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/1M3cLNTQLL1Vy6UbO9Er7FMqbND.jpg,3
144,Choi Hyun-Wook,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/i8Wzov1P4HUMaK7rcG250nhxTg3.jpg,5
145,Choi Jung Woo,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/o4Tbudvow3rzgxmlilnRral5fpr.jpg,6
146,Choi Min-sik,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/i2HIJQcBsUQ3o9HwEeDwou45D60.jpg,1
147,Choi Woo-sik,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/b6PltW1e18BdmRz3nKZ7ID9uZ24.jpg,1
148,Chris Evans,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/dUnrbrn2FeqfdpGRArPZeWPsS2g.jpg,10
149,Chris Hemswort,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/sBiiRwAVXd0FCRZ87m0I89qGBvy.jpg,5
150,Chris Hemsworth,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/kkGwF2nhgnYLUfXuH2CDvrHeUay.jpg,6
151,Christian Bale,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/wckZtLwFUZ4iKwPxqfCtlVbdQnc.jpg,6
152,Christian Navarro,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/DPIxORe7Sco6xVIKVbIsHlRYCI.jpg,5
153,Christina Hendricks,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/1pRUjjrhnn1EzFz5dxbFAxcSCBC.jpg,5
154,Christine Hakim,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/5pFyssmQGxxCu5geM4WgCBJGrcU.jpg,7
155,Christopher Eccleston,01/01/1980,https://img.freepik.com/free-vector/businessman-character-avatar-isolated_24877-60111.jpg,3
156,Christopher Hagen,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/2pNNCnjI1TwxjyP3Y4cJln1wOKE.jpg,1
157,Christopher Lloyd,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/dRFl6hb3LVTNtGFCvizaKoNhjKe.jpg,8
158,Christopher Plummer,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/ju5ho6nnwOQ2QLGLnDP9yOZhGpb.jpg,9
159,Cillian Murphy,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/gjW0BFkxowjzOVFyVMfgpCTkyl0.jpg,9
160,Clancy Brown,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/tXlRA4gZgUiKx2P1odBpyXjnkbX.jpg,7
161,Clark Gregg,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/tJRMwbWFObv03KhATALs0Xbbgq7.jpg,1
162,Claudia Wells,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/9ENvxomhVWXTi0S0I13agqRMBOd.jpg,9
163,Colin Firth,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/jUuUbPuMGonFT5E2pcs4alfqaCN.jpg,1
164,Collette Wolfe,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/zkOBmmSgOsMPGs2DvpM8E4dXpBk.jpg,2
165,Connor Esterson,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/pem026eNKMUMnCEVXZf5T5yjH64.jpg,5
166,Connor Jessup,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/a0ySMTCDQCBOam4XW7Kvtt2ZhDd.jpg,1
167,Corey Stoll,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/11m8ff0YwS64Z04DJhupNQpwmCZ.jpg,8
168,Crispin Glover,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/fe4mUSp0XotA6Ku4Bs69Q9o2lqU.jpg,10
169,Cristela Alonzo,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/7gPpG0TBMX20tPhWC8BT47x2lnh.jpg,3
170,Cynthia Erivo,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/70AVFDROBAeVhWDEMKWfXPpBVYq.jpg,8
171,D.J. Cotrona,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/nJo91Czesn6z0d0pkfbDoVZY3sg.jpg,7
172,Dakota Beavers,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/fgID7oesvlmOa6zGnZY4bMrvFAW.jpg,7
173,Dakota Goyo,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/qsg2aGkJ25fD67AnVdQZB6Ho8CX.jpg,3
174,dan Josh Brolin,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/hpBKWV1jjoXQbr1s0iUZTSvw582.jpg,9
175,dan Sterling K. Brown,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/aANxORdYZkGTUvhWOBAXk4iM92t.jpg,9
176,Dan Stevens,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/joHGUtEmXzJkH6ogEliiUKT9MNa.jpg,7
